id,venue_name,venue_id,venue_url,venue_img,venue_email,venue_phone,venue_website,city_name,country_name,country_geo_id,city_geo_id,venue_street_address,venue_locality,region_name,venue_postal_code,venue_cost,venue_rating,venue_review_count,status,venue_tcreate,venue_long,venue_lat,venue_tmodified
90458,Sherlocked,7245669,/Attraction_Review-g189839-d7245669-Reviews-Sherlocked-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/0c/af/9a/d1/sherlocked-irl-afk-wtf.jpg,,+46 40 651 21 00,http://www.sherlocked.se,Loddekopinge,Sweden,189806,227949,http://www.sherlocked.se,Malmo,Skane County,211 25,,5.0,129,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90459,Fox in a box Escape Room,14548077,/Attraction_Review-g189839-d14548077-Reviews-Fox_in_a_box_Escape_Room-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/17/29/b4/c5/prison-break.jpg,,+46 73 704 57 63,http://www.foxinaboxmalmo.com,Loddekopinge,Sweden,189806,227949,http://www.foxinaboxmalmo.com,Malmo,Skane County,21135,,5.0,119,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90460,The Alley Escape Rooms,12941692,/Attraction_Review-g189839-d12941692-Reviews-The_Alley_Escape_Rooms-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/10/d0/7c/b9/getlstd-property-photo.jpg,,+46 72 022 24 99,http://www.thealley.se,Loddekopinge,Sweden,189806,227949,http://www.thealley.se,Malmo,Skane County,211 45,,5.0,140,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90461,Escape House Lund,12646823,/Attraction_Review-g189838-d12646823-Reviews-Escape_House_Lund-Lund_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/10/b8/e0/8a/anta-schackmastarens.jpg,,+46 46 14 95 00,http://www.escapehouse.se/lund,Loddekopinge,Sweden,189806,227949,http://www.escapehouse.se/lund,Lund,Skane County,222 22,,4.5,26,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90462,The Gatsby Maze Escape Room,13010653,/Attraction_Review-g189839-d13010653-Reviews-The_Gatsby_Maze_Escape_Room-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/11/27/53/6f/the-entrance-to-the-gatsby.jpg,,,http://www.gatsbymaze.com,Loddekopinge,Sweden,189806,227949,http://www.gatsbymaze.com,Malmo,Skane County,214 30,,5.0,32,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90463,Gothenburg Escape Game,7845382,/Attraction_Review-g189894-d7845382-Reviews-Gothenburg_Escape_Game-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/12/c5/31/gothenburg-escape-game.jpg,,+46 31 20 40 13,http://www.gotescape.se/en/startpage,Partille,Sweden,189806,1951474,http://www.gotescape.se/en/startpage,Gothenburg,Vastra Gotaland County,41120,,5.0,219,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90464,Escape House Gothenburg,8064756,/Attraction_Review-g189894-d8064756-Reviews-Escape_House_Gothenburg-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/ef/d7/64/escape-house-goteborg.jpg,,+46 31 388 00 60,http://www.escapehouse.se,Partille,Sweden,189806,1951474,http://www.escapehouse.se,Gothenburg,Vastra Gotaland County,414 57,,4.5,152,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90465,The Room,13001343,/Attraction_Review-g189894-d13001343-Reviews-The_Room-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/86/12/09/the-room-organises-exciting.jpg,,+46 31 14 99 39,http://www.theroomescape.se,Partille,Sweden,189806,1951474,http://www.theroomescape.se,Gothenburg,Vastra Gotaland County,417 01,,5.0,21,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90466,Escape,15560969,/Attraction_Review-g189894-d15560969-Reviews-Escape-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/15/8b/3c/7c/getlstd-property-photo.jpg,,+46 31 770 00 01,http://www.escapegbg.se,Partille,Sweden,189806,1951474,http://www.escapegbg.se,Gothenburg,Vastra Gotaland County,411 14,,5.0,6,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90467,Prison Island Goteborg,12003218,/Attraction_Review-g1136267-d12003218-Reviews-Prison_Island_Goteborg-Molndal_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/99/17/1e/20171226-115327-largejpg.jpg,,+46 31 797 19 99,http://www.prisonisland.nu,Partille,Sweden,189806,1951474,http://www.prisonisland.nu,Molndal,Vastra Gotaland County,431 67,,4.0,12,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90468,Escape Quest,14922022,/Attraction_Review-g189894-d14922022-Reviews-Escape_Quest-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/15/dd/7f/a8/front.jpg,,+46 70 986 52 75,http://www.escapequest.se,Partille,Sweden,189806,1951474,http://www.escapequest.se,Gothenburg,Vastra Gotaland County,417 05,,4.5,7,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90469,Escape House Gothenburg,8064756,/Attraction_Review-g189894-d8064756-Reviews-Escape_House_Gothenburg-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/ef/d7/64/escape-house-goteborg.jpg,,+46 31 388 00 60,http://www.escapehouse.se,Styrso,Sweden,189806,3225546,http://www.escapehouse.se,Gothenburg,Vastra Gotaland County,414 57,,4.5,152,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90470,Gothenburg Escape Game,7845382,/Attraction_Review-g189894-d7845382-Reviews-Gothenburg_Escape_Game-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/12/c5/31/gothenburg-escape-game.jpg,,+46 31 20 40 13,http://www.gotescape.se/en/startpage,Styrso,Sweden,189806,3225546,http://www.gotescape.se/en/startpage,Gothenburg,Vastra Gotaland County,41120,,5.0,219,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90471,The Room,13001343,/Attraction_Review-g189894-d13001343-Reviews-The_Room-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/86/12/09/the-room-organises-exciting.jpg,,+46 31 14 99 39,http://www.theroomescape.se,Styrso,Sweden,189806,3225546,http://www.theroomescape.se,Gothenburg,Vastra Gotaland County,417 01,,5.0,21,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90472,Escape,15560969,/Attraction_Review-g189894-d15560969-Reviews-Escape-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/15/8b/3c/7c/getlstd-property-photo.jpg,,+46 31 770 00 01,http://www.escapegbg.se,Styrso,Sweden,189806,3225546,http://www.escapegbg.se,Gothenburg,Vastra Gotaland County,411 14,,5.0,6,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90473,Molinders Mysterium,15111037,/Attraction_Review-g189818-d15111037-Reviews-Molinders_Mysterium-Umea_Vasterbotten_County.html,https://media-cdn.tripadvisor.com/media/photo-s/16/3a/d2/a2/boka-pa-molindersse.jpg,,,http://www.molinders.se,Holmsund,Sweden,189806,3228387,http://www.molinders.se,Umea,Vasterbotten County,903 26,,5.0,8,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90474,The Alley Escape Rooms,12941692,/Attraction_Review-g189839-d12941692-Reviews-The_Alley_Escape_Rooms-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/10/d0/7c/b9/getlstd-property-photo.jpg,,+46 72 022 24 99,http://www.thealley.se,Svedala,Sweden,189806,2151544,http://www.thealley.se,Malmo,Skane County,211 45,,5.0,140,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90475,Fox in a box Escape Room,14548077,/Attraction_Review-g189839-d14548077-Reviews-Fox_in_a_box_Escape_Room-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/17/29/b4/c5/prison-break.jpg,,+46 73 704 57 63,http://www.foxinaboxmalmo.com,Svedala,Sweden,189806,2151544,http://www.foxinaboxmalmo.com,Malmo,Skane County,21135,,5.0,119,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90476,Sherlocked,7245669,/Attraction_Review-g189839-d7245669-Reviews-Sherlocked-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/0c/af/9a/d1/sherlocked-irl-afk-wtf.jpg,,+46 40 651 21 00,http://www.sherlocked.se,Svedala,Sweden,189806,2151544,http://www.sherlocked.se,Malmo,Skane County,211 25,,5.0,129,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90477,Breakout Sweden,11435858,/Attraction_Review-g189836-d11435858-Reviews-Breakout_Sweden-Helsingborg_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/0d/ff/a7/d8/spannande-och-klurigt.jpg,,+46 42 303 65 76,http://breakoutsweden.se/sv/,Raa,Sweden,189806,3485082,http://breakoutsweden.se/sv/,,Skane County,252 67,,5.0,12,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90478,Prison Island,14930958,/Attraction_Review-g189836-d14930958-Reviews-Prison_Island-Helsingborg_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/c8/fb/20180728-151203-largejpg.jpg,,+46 42 21 85 20,http://www.prisonisland.se,Raa,Sweden,189806,3485082,http://www.prisonisland.se,,Skane County,,,4.5,4,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90479,Mobile Mystery Games,15244406,/Attraction_Review-g189542-d15244406-Reviews-Mobile_Mystery_Games-Helsingoer_Helsingoer_Municipality_Copenhagen_Region_Zealan.html,https://media-cdn.tripadvisor.com/media/photo-s/15/34/12/64/super-sjovt.jpg,,+45 91 52 05 77,http://www.mystery.nu,Raa,Sweden,189806,3485082,http://www.mystery.nu,Helsingoer,Skane County,3000,,5.0,8,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90480,Escape House Gothenburg,8064756,/Attraction_Review-g189894-d8064756-Reviews-Escape_House_Gothenburg-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/ef/d7/64/escape-house-goteborg.jpg,,+46 31 388 00 60,http://www.escapehouse.se,Vastra Frolunda,Sweden,189806,1165137,http://www.escapehouse.se,Gothenburg,Vastra Gotaland County,414 57,,4.5,152,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90481,Gothenburg Escape Game,7845382,/Attraction_Review-g189894-d7845382-Reviews-Gothenburg_Escape_Game-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/12/c5/31/gothenburg-escape-game.jpg,,+46 31 20 40 13,http://www.gotescape.se/en/startpage,Vastra Frolunda,Sweden,189806,1165137,http://www.gotescape.se/en/startpage,Gothenburg,Vastra Gotaland County,41120,,5.0,219,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90482,Prison Island Goteborg,12003218,/Attraction_Review-g1136267-d12003218-Reviews-Prison_Island_Goteborg-Molndal_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/99/17/1e/20171226-115327-largejpg.jpg,,+46 31 797 19 99,http://www.prisonisland.nu,Vastra Frolunda,Sweden,189806,1165137,http://www.prisonisland.nu,Molndal,Vastra Gotaland County,431 67,,4.0,12,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90483,The Room,13001343,/Attraction_Review-g189894-d13001343-Reviews-The_Room-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/86/12/09/the-room-organises-exciting.jpg,,+46 31 14 99 39,http://www.theroomescape.se,Vastra Frolunda,Sweden,189806,1165137,http://www.theroomescape.se,Gothenburg,Vastra Gotaland County,417 01,,5.0,21,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90484,Escape,15560969,/Attraction_Review-g189894-d15560969-Reviews-Escape-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/15/8b/3c/7c/getlstd-property-photo.jpg,,+46 31 770 00 01,http://www.escapegbg.se,Vastra Frolunda,Sweden,189806,1165137,http://www.escapegbg.se,Gothenburg,Vastra Gotaland County,411 14,,5.0,6,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90485,Escape Quest,14922022,/Attraction_Review-g189894-d14922022-Reviews-Escape_Quest-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/15/dd/7f/a8/front.jpg,,+46 70 986 52 75,http://www.escapequest.se,Vastra Frolunda,Sweden,189806,1165137,http://www.escapequest.se,Gothenburg,Vastra Gotaland County,417 05,,4.5,7,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90486,Escape House Gothenburg,8064756,/Attraction_Review-g189894-d8064756-Reviews-Escape_House_Gothenburg-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/ef/d7/64/escape-house-goteborg.jpg,,+46 31 388 00 60,http://www.escapehouse.se,Billdal,Sweden,189806,7734292,http://www.escapehouse.se,Gothenburg,Vastra Gotaland County,414 57,,4.5,152,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90487,Gothenburg Escape Game,7845382,/Attraction_Review-g189894-d7845382-Reviews-Gothenburg_Escape_Game-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/08/12/c5/31/gothenburg-escape-game.jpg,,+46 31 20 40 13,http://www.gotescape.se/en/startpage,Billdal,Sweden,189806,7734292,http://www.gotescape.se/en/startpage,Gothenburg,Vastra Gotaland County,41120,,5.0,219,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90488,Prison Island Goteborg,12003218,/Attraction_Review-g1136267-d12003218-Reviews-Prison_Island_Goteborg-Molndal_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/99/17/1e/20171226-115327-largejpg.jpg,,+46 31 797 19 99,http://www.prisonisland.nu,Billdal,Sweden,189806,7734292,http://www.prisonisland.nu,Molndal,Vastra Gotaland County,431 67,,4.0,12,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90489,The Room,13001343,/Attraction_Review-g189894-d13001343-Reviews-The_Room-Gothenburg_Vastra_Gotaland_County_West_Coast.html,https://media-cdn.tripadvisor.com/media/photo-s/11/86/12/09/the-room-organises-exciting.jpg,,+46 31 14 99 39,http://www.theroomescape.se,Billdal,Sweden,189806,7734292,http://www.theroomescape.se,Gothenburg,Vastra Gotaland County,417 01,,5.0,21,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
